Danceability,Energy,Popularity,Loudness,Tempo
0.741,0.469,3,-7.627,123.904
0.772,0.724,54,-5.799,84.038
0.655,0.488,63,-9.17,91.025
0.849,0.498,47,-7.872,92.98
0.859,0.658,61,-4.481,98.989
0.455,0.858,68,-5.659,163.118
0.6,0.736,48,-6.228,158.108
0.606,0.699,50,-3.103,83.701
0.492,0.896,72,-5.819,184.981
0.791,0.733,58,-5.123,105.987
0.811,0.657,61,-6.197,199.958
0.568,0.867,58,-5.861,163.944
0.527,0.808,52,-4.749,87.025
0.883,0.887,57,-4.92,124.814
0.649,0.713,49,-6.488,101.129
0.595,0.489,70,-6.66,120.315
0.586,0.705,58,-4.904,98.014
0.802,0.863,57,-3.552,81.008
0.894,0.404,67,-5.913,102.009
0.866,0.749,69,-3.977,92.074
0.668,0.824,71,-4.164,163.961
0.853,0.752,48,-8.831,104.946
0.831,0.695,48,-6.491,132.817
0.646,0.813,72,-3.846,92.729
0.784,0.459,61,-9.74,164.062
0.707,0.538,57,-5.264,121.732
0.658,0.826,60,-6.031,134.465
0.553,0.775,59,-10.284,139.993
0.435,0.92,67,-1.357,188.899
0.655,0.433,49,-7.577,130.127
0.893,0.74,67,-4.936,101.025
0.747,0.398,57,-12.932,117.901
0.691,0.541,59,-5.873,127.683
0.66,0.698,0,-4.722,123.005
0.85,0.862,38,-3.587,130.036
0.751,0.84,57,-4.855,99.057
0.837,0.885,58,-3.914,95.313
0.53,0.768,67,-5.611,148.095
0.733,0.521,60,-3.657,112.913
0.624,0.654,73,-6.582,73.898
0.447,0.636,57,-5.08,105.678
0.612,0.735,60,-5.074,126.326
0.638,0.54,48,-6.849,143.772
0.714,0.862,56,-5.531,92.849
0.577,0.749,79,-7.215,130.97
0.649,0.718,54,-4.984,79.993
0.884,0.677,70,-5.603,101.868
0.71,0.797,65,-3.006,94.998
0.747,0.904,67,-2.623,118.877
0.614,0.568,75,-5.477,107.849
0.757,0.78,61,-5.038,97.917
0.649,0.536,55,-8.804,78.935
0.701,0.669,60,-5.265,83.066
0.618,0.552,64,-6.863,81.975
0.512,0.525,44,-6.823,169.951
0.758,0.957,63,-2.281,111.121
0.81,0.791,61,-5.909,153.067
0.646,0.6,61,-6.569,192.082
0.656,0.615,47,-6.359,175.943
0.769,0.646,61,-6.653,90.079
0.256,0.788,63,-5.263,80.718
0.871,0.597,66,-4.932,125.999
0.546,0.538,67,-7.886,182.12
0.397,0.903,61,-4.577,151.551
0.688,0.538,58,-7.608,119.998
0.62,0.93,68,-3.685,106.22
0.496,0.819,63,-5.656,100.215
0.489,0.649,74,-5.11,158.009
0.457,0.406,70,-7.462,151.95
0.641,0.445,55,-8.674,81.931
0.894,0.791,81,-4.699,105.018
